法人名称,法人番号,法人種別,登記閉鎖等,法人サマリー,本社所在地(WEBサイト掲載),郵便番号(WEBサイト掲載),都道府県(WEBサイト掲載),市区町村(WEBサイト掲載),番地(WEBサイト掲載),本社所在地(登記情報),郵便番号(登記情報),都道府県(登記情報),市区町村(登記情報),番地(登記情報),サイトURL,メールアドレス,電話番号,FAX番号,業種,業種(大分類1),業種(中分類1),業種(大分類2),業種(中分類2),業種(大分類3),業種(中分類3),上場区分,法人グレード,設立年月日,資本金(円),従業員数(人),代表者名,役員,売上高(円),利益(円),決算月,国内拠点数,国内拠点名,海外拠点数,海外拠点名,関連企業数,掲載取引先数,利用サービス,Facebook,X(旧Twitter),Instagram,YouTube,LINE,アクティビティ,運営サイト数,アップロードリストとの重複
株式会社Ｂｉｆコンサルティング,'7011001154224,株式会社,,株式会社Ｂｉｆコンサルティングは、ＳａａＳタイプのＥＲＰ導入プロジェクトを支援し、ビジネス環境の変化やＩＴの進化に柔軟に対応する業界特化型のコンサルティング法人です。,東京都渋谷区道玄坂1-21-1SHIBUYASOLASTA3F,150-0043,東京都,渋谷区,道玄坂1-21-1SHIBUYASOLASTA3F,東京都渋谷区道玄坂１丁目２１番１号３階,1500043,東京都,渋谷区,道玄坂１丁目２１番１号３階,https://www.bif-consulting.co.jp/,otoiawase@bif-consulting.co.jp,050-8887-7798,,"情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,情報サービス業,非上場,小規模企業,2023,"5,000,000",5以上～10未満,石川光幸（代表取締役）,石川光幸（代表取締役）,1億以上～5億未満,,,1,,,,,,Google アナリティクス/Gstatic/reCAPTCHA/Google マップ/Googleタグマネージャー,◯,-,-,-,-,,,N/A
アイドック株式会社,'3010701021613,株式会社,,アイドック株式会社は、デジタルコンテンツの著作権保護管理を専門とし、ＤＲＭシステム「ｂｏｏｋｅｎｄ」の開発・販売や、ＳａａＳ型ＤＲＭサーバー「ＫＥＹＲＩＮＧ．ＮＥＴ」を提供する法人です。,東京都千代田区神田神保町1-3-5寿ビル7F,101-0051,東京都,千代田区,神田神保町1-3-5寿ビル7F,東京都千代田区神田神保町１丁目３番５号,1010051,東京都,千代田区,神田神保町１丁目３番５号,https://www.idoc.co.jp:443/,,03-5577-2208,050-3488-2649,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,情報通信業,情報サービス業,非上場,中小企業,1999/7,"30,000,000",5以上～10未満,成井 敦（代表取備?取締役）,成井 敦（代表取備?取締役）,1億以上～5億未満,,,1,,,,,,Google マップ,-,-,-,-,-,リリース情報掲載あり(2025/2026年),1,N/A
ＨＥＮＮＧＥ株式会社,'2011001034562,株式会社,,ＨＥＮＮＧＥ株式会社は、クラウドセキュリティサービス「ＨＥＮＮＧＥ Ｏｎｅ」を展開し、テクノロジーを駆使して企業の情報セキュリティ強化と業務効率向上を支援するＳａａＳ法人です。,東京都渋谷区南PLATFORMS町16番28号DAIWA渋谷スクエア(11F受付),,東京都,渋谷区,南PLATFORMS町16番28号DAIWA渋谷スクエア(11F受付),東京都渋谷区南平台町１６番２８号,1500036,東京都,渋谷区,南平台町１６番２８号,https://hennge.com,,03-6415-3660,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,東証グロース,大手,1996/11/5,"521,191,000",300以上～500未満,小椋 一宏（代表取締役社長クラウド・プロダクト・ディベロップメント・ディビジョン 担当執行役員）/宮本 和明（代表取締役副社長メッセージング・ビジネス・ディビジョン 担当執行役員インターナル・DX・ディビジョン 担当執行役員）,永留 義己（取締役副社長）/天野 治夫（取締役副社長）/髙岡 美緒（取締役）/加藤 道子（取締役）/後藤 文明（取締役(監査等委員/常勤)）/早川 明伸（取締役(監査等委員)）/小内 邦敬（取締役(監査等委員)）,100億以上～300億未満,"1,422,912,000",9月,4,大阪府/愛知県/福岡県/広島県,2,中国/アメリカ,28,20,Google マップ/Googleタグマネージャー/jQuery CDN/Google Hosted Libraries/Google アナリティクス/Gstatic,-,-,-,-,-,リリース情報掲載あり(1週間以内)/展示会出展あり(2025/2026年)/中途採用掲載あり(2025/2026年)/商標出願あり(2025/2026年),12,N/A
株式会社ＬＩＦＥ ＯＡＫ,'6010001208791,株式会社,,株式会社ＬＩＦＥ ＯＡＫは、サロン業務のデジタルトランスフォーメーションを推進するＳａａＳ型の管理システム「スマートサロン」を提供し、健康医療業界における革新を目指す法人です。,,,,,,茨城県つくば市谷田部６９２３番地３,3050861,茨城県,つくば市,谷田部６９２３番地３,https://www.life-oak.com/,info@life-oak.com,090-4079-6272,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,,,非上場,不明,2020/4/1,,,高山昌大（代表取締役）,高山昌大（代表取締役）,,,,,,,,,1,Polyfill,◯,◯,◯,◯,-,,,N/A
株式会社クエステトラ,'6130001031686,株式会社,,株式会社クエステトラは、業務プロセス管理を支援する「Ｑｕｅｓｔｅｔｒａ ＢＰＭ Ｓｕｉｔｅ」を提供するＳａａＳベンダーで、企業が独自に業務プロセスをシステム化できるプラットフォームを開発しています。,京都市中京区御池通間之町東入高宮町206御池ビル4階,,,京都市中京区,御池通間之町東入高宮町206御池ビル4階,京都府京都市中京区御池通間之町東入高宮町２０６,6040835,京都府,京都市中京区,御池通間之町東入高宮町２０６,https://questetra.com/,,075-205-5007,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中小企業,2008/4/1,"184,057,500",10以上～20未満,今村 元一（代表執行役CEO）,今村 元一（代表執行役CEO）/畠中 晃弘（執行役CTO）/矢作 基（執行役CFO）/江原 良典（執行役Fellow）/古久保 雅人（執行役CMO）/加藤 直樹（社外取締役）/勝屋 久（社外取締役）/吉町 僚高（社外取締役）/中村 多伽（社外取締役）,5億以上～10億未満,,,1,,,,,,Wordpress/Gravatar/Googleタグマネージャー,-,-,-,-,-,,4,N/A
ｅｄｉｉ株式会社,'1011001148421,株式会社,,ｅｄｉｉ株式会社は、ＳａａＳおよびメディア事業を通じて店舗向けのＩＴソリューションを提供し、特にＬＩＮＥ連携の予約管理システム「ＣＲＡＦＴ」を中心にサービスを展開しているスタートアップです。,,,,,,東京都渋谷区神宮前６丁目２３－４桑野ビル２Ｆ,1500001,東京都,渋谷区,神宮前６丁目２３－４桑野ビル２Ｆ,https://www.edii.co.jp/,info@edii.co.jp,03-6825-2946,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,情報通信業,情報サービス業,非上場,小規模企業,2022/6,,～5未満,刈田 修平（代表取締役CEO）,刈田 修平（代表取締役CEO）/伊藤 健太（取締役）/和田 佑太（取締役）,5千万以上～1億未満,,,,,,,,,Gstatic/Google Cloud Storage/Googleタグマネージャー,-,-,-,-,-,リリース情報掲載あり(1週間以内),,N/A
株式会社エンジン,'8010801028223,株式会社,,株式会社エンジンは、総合補修工事業や建築検査事業を中心に、建設業界の効率化と社会的地位の向上を目指し、特に高い技術力を生かしたサービスを提供する法人です。,東京都品川区西五反田7‐22‐17TOCビル10階,141-0031,東京都,品川区,西五反田7‐22‐17TOCビル10階,東京都品川区西五反田７丁目２２－１７ＴＯＣビル１０階,1410031,東京都,品川区,西五反田７丁目２２－１７ＴＯＣビル１０階,https://engene.co.jp/,,03-5719-4600,03-5719-4611,"学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/商品・非破壊検査業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/土木建築サービス業,建設業/総合工事業/建築工事業(木造建築工事業を除く),学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,建設業,総合工事業,非上場,中小企業,,"90,000,000",50以上～100未満,橋口 昌弘（代表者）,橋口 昌弘（代表者）,10億以上～20億未満,,,5,宮城県/大阪府/福岡県/東京都,,,,,Google Hosted Libraries/Googleタグマネージャー/jsDelivr/Google マップ/Font Awesome/Kairos3 Marketing,-,-,◯,-,-,中途採用掲載あり(2025/2026年),,N/A
株式会社コミュニティコム,'2011501013850,株式会社,,株式会社コミュニティコムは、ＩＴ事業や不動産運営事業を展開し、無人施錠システム「むじんＬＯＣＫ」やコワーキングスペース、シェアオフィス、貸会議室などを提供する法人です。,,,,,,埼玉県さいたま市大宮区宮町１丁目５番地,3300802,埼玉県,さいたま市大宮区,宮町１丁目５番地,https://www.communitycom.jp/,info@communitycom.jp,048-729-5197,048-729-5198,不動産業，物品賃貸業/不動産賃貸業・管理業/不動産賃貸業（貸家業，貸間業を除く）,不動産業，物品賃貸業,不動産賃貸業・管理業,,,,,非上場,中小企業,2008/1,"10,000,000",30以上～50未満,星野邦敏（代表取締役）,星野邦敏（代表取締役）,1億以上～5億未満,,,6,,,,5,,Google マップ/Googleタグマネージャー/Gravatar/Wordpress,◯,◯,-,-,-,リリース情報掲載あり(2025/2026年)/案件情報掲載あり(2025/2026年),6,N/A
株式会社クーペックス,'4010401135621,株式会社,,株式会社クーペックスは、メディア運営、ＳＮＳ運営、動画制作、医薬品貿易代行、ウェブアクセシビリティＳａａＳを手掛ける法人であり、小さなきっかけから価値あるサービスを生み出すことに注力しています。,,,,,,東京都新宿区下宮比町２番２８号飯田橋ハイタウン４２０号室,162-0822,東京都,新宿区,下宮比町２番２８号飯田橋ハイタウン４２０号室,https://coopex.co.jp/,info@coopex.co.jp,03-4500-1799,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/広告業/広告業,情報通信業/映像・音声・文字情報制作業/映像・音声・文字情報制作に附帯するサービス業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,広告業,情報通信業,映像・音声・文字情報制作業,非上場,小規模企業,,,～5未満,,,1億以上～5億未満,,,,,,,,,Google Cloud Storage/Googleタグマネージャー/Gstatic/TypeSquare,-,-,-,-,-,,,N/A
株式会社レインボーリンク,'2100001016925,株式会社,,株式会社レインボーリンクは、長野県に本社を置くソフトウェア開発会社で、ＳａａＳやＩｏＴソリューションの提供、ＩＴコンサルティング、Ｗｅｂ制作など多岐にわたるデジタルサービスを展開しています。,,,,,,長野県塩尻市大字広丘堅石８０３番地８,3990705,長野県,塩尻市,大字広丘堅石８０３番地８,https://jp.rainbow-link.com/,info@Rainbow-Link.com,0263-54-6437,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,小規模企業,2009/7/31,"3,000,000",,伴在まどか（代表取締役社長）,伴在まどか（代表取締役社長）,,,,,,,,,,,-,-,-,-,-,,,N/A
Ａ１Ａ株式会社,'6020001126951,株式会社,,Ａ１Ａ株式会社は、製造業の購買部門における見積もり業務を支援するクラウド型ＳａａＳシステム「ＲＦＱクラウド®」を提供する法人です。,東京都千代田区神田三崎町2-6-7田中衡機ビル7F,101-0061,東京都,千代田区,神田三崎町2-6-7田中衡機ビル7F,東京都千代田区神田三崎町２丁目６番７号,1010061,東京都,千代田区,神田三崎町２丁目６番７号,https://rfqcloud.com/,,03-6478-2099,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,中堅,,"429,595,500",30以上～50未満,松原 脩平（代表取締役）,松原 脩平（代表取締役）,10億以上～20億未満,,,2,愛知県,,,,,Googleタグマネージャー/Google マップ,-,-,-,-,-,,1,N/A
株式会社メタ・イズム,'9120001146193,株式会社,,株式会社メタ・イズムは、ＭａａＳ（Ｍｏｂｉｌｉｔｙ ａｓ ａ Ｓｅｒｖｉｃｅ）関連サービスや動態管理・物流関連の業務用車両システムの提供、ＳａａＳ形式での業界向けサービスの提供、Ｗｅｂサービス設計・開発の受託業務、保守業務などを行うＩＴ法人です。,大阪府大阪市中央区島町2丁目4-9島町第二野村ビル,540-0034,大阪府,大阪市中央区,島町2丁目4-9島町第二野村ビル,大阪府大阪市中央区島町２丁目４番９号,540-0034,大阪府,大阪市中央区,島町２丁目４番９号,https://metaism.co.jp/,,06-6355-4633,06-6355-4634,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,2010/9/2,,5以上～10未満,西尾幸紘（代表者）,山科 智紀（取締役）,1億以上～5億未満,,,1,東京都,,,,,Gstatic/Google マップ/Googleタグマネージャー,◯,-,-,-,-,,,N/A
株式会社イーワンプロジェクト,'5070001004716,株式会社,,株式会社イーワンプロジェクトは、群馬県内商工会議所の企画・開発・運営管理や、オンラインショッピングモールの運営、電子商取引の受託・調査・研究・研修・検証、クラウドコンピューティングＳａａＳシステムやＢＰＭビジネスシステムの企画・設計・開発・保守業務を行う法人です。,群馬県北群馬郡吉岡町陣場２１−３,370-3603,群馬県,北群馬郡吉岡町,陣場２１−３,群馬県北群馬郡吉岡町大字陣場２１番地３,3703603,群馬県,北群馬郡吉岡町,大字陣場２１番地３,http://www.e1-project.com/,,090-2660-0837,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,非上場,小規模企業,,,～5未満,,,100万以上～5千万未満,,,,,,,,,Google Hosted Libraries,-,-,-,-,-,,,N/A
ＣｌｉｃｋＨｏｕｓｅ株式会社,'3010401192564,株式会社,,ＣｌｉｃｋＨｏｕｓｅ株式会社は、世界の優れたＳａａＳ企業を発掘し、共同経営を通じて日本市場への進出を支援し、日本企業の競争力と生産性向上を目指すコンサルティング法人です。,東京都港区赤坂9-7-1ミッドタウン・タワー18階,107-0052,東京都,港区,赤坂9-7-1ミッドタウン・タワー18階,東京都港区赤坂９丁目７番１号ミッドタウンタワー１８階,107-0052,東京都,港区,赤坂９丁目７番１号ミッドタウンタワー１８階,https://japancloud.jp/,info@japancloud.co.jp,03-4590-1570,,"学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,情報通信業/情報サービス業/情報処理・提供サービス業",学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,情報サービス業,,,非上場,不明,2017/7,,,,,,,,1,,,,10,,Facebook SDK/FONTPLUS/jsDelivr/Typekit/Gstatic/unpkg/CloudFlare/Googleタグマネージャー/jQuery CDN,◯,-,-,-,-,,,N/A
株式会社ビリオン,'7180001132941,株式会社,,株式会社ビリオンは、デザイン制作やＷｅｂマーケティング支援を中心に、アプリ・ＷＥＢシステム開発、農業遠隔観測システム、自社ＳａａＳ型サービスなど多岐にわたるサービスを提供する法人です。,愛知県半田市広小路155-3CLACITY2F,,愛知県,半田市,広小路155-3CLACITY2F,愛知県半田市広小路町１５５番地の３,4750857,愛知県,半田市,広小路町１５５番地の３,https://vilion.jp/,,0569-84-2471,0569-84-2472,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,小規模企業,,,～5未満,榊原 光浩（代表取締役）,榊原 光浩（代表取締役）,1億以上～5億未満,,,,,,,,,Font Awesome/Googleタグマネージャー/Google マップ/Gstatic/jQuery CDN,-,-,-,-,-,,,N/A
株式会社エクスオード,'7011101049976,株式会社,,株式会社エクスオードは、人材紹介会社向けのＳａａＳプラットフォームを活用し、約２万の人材紹介会社データベースを基に採用支援やアウトソーシング事業を展開する法人です。,,,,,,東京都新宿区新宿１丁目３６番７号川本ビル９Ｆ,160-0022,東京都,新宿区,新宿１丁目３６番７号川本ビル９Ｆ,https://www.ex-ord.co.jp/,info@ex-ord.co.jp,03-5367-4511,03-5367-4512,"サービス業（他に分類されないもの）/職業紹介・労働者派遣業/職業紹介業,情報通信業/情報サービス業/情報処理・提供サービス業",サービス業（他に分類されないもの）,職業紹介・労働者派遣業,情報通信業,情報サービス業,,,非上場,中堅,2008/7,"10,000,000",50以上～100未満,守屋尚（代表）,守屋 尚（代表者）,10億以上～20億未満,,,,,,,,1,Gstatic/Googleタグマネージャー/Google Hosted Libraries/Google マップ,-,-,-,-,-,中途採用掲載あり(2025/2026年)/商標出願あり(2025/2026年),1,N/A
株式会社ＡＧＡＴＨＡ,'6010001249687,株式会社,,株式会社ＡＧＡＴＨＡは、ＡＩ技術を駆使してビジネス課題を解決するＩＴ法人で、ＡＩシステム開発、ＰＲ・マーケティング、ＡＩ ＳａａＳ、ＤＸソリューションなど多岐にわたるサービスを提供しています。,,,,,,東京都中央区銀座１丁目１２番４号Ｎ＆ＥＢＬＤ．６Ｆ,1040061,東京都,中央区,銀座１丁目１２番４号Ｎ＆ＥＢＬＤ．６Ｆ,https://a-gatha.com/,,050-1726-0971,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業,学術研究，専門・技術サービス業/広告業/広告業,情報通信業/インターネット附随サービス業/インターネット附随サービス業",情報通信業,情報サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,非上場,不明,2024/11,,,石井 恭太（代表取締役）,石井 恭太（代表取締役）,,,,,,,,,,Google マップ,-,-,-,-,-,,,N/A
モビルス株式会社,'6010401095847,株式会社,,モビルス株式会社は、顧客体験（ＣＸ）の向上を目指し、生成ＡＩサービス「ＭｏｏＡ®」やＳａａＳソリューション「モビシリーズ」を通じて、企業の顧客コミュニケーションの効率化と価値向上を支援するテクノロジー法人です。,東京都品川区東五反田2丁目22番9号住友不動産大崎ツインビル西館9階,141-0022,東京都,品川区,東五反田2丁目22番9号住友不動産大崎ツインビル西館9階,東京都品川区東五反田２丁目２２番９号住友不動産大崎ツインビル西館９階,1410022,東京都,品川区,東五反田２丁目２２番９号住友不動産大崎ツインビル西館９階,https://mobilus.co.jp/,,03-6417-9523,,"情報通信業/情報サービス業/ソフトウェア業,情報通信業/インターネット附随サービス業/インターネット附随サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,情報サービス業,情報通信業,インターネット附随サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,東証グロース,大手,2011/9,"449,152,000",100以上～300未満,石井 智宏（代表取締役社長）,加藤 建嗣（取締役CFO）/鈴木 猛司（取締役）/吉崎 浩一郎（取締役）/成田 芳生（常勤監査役）/髙松 明（監査役）/青木 常子（監査役）,10億以上～20億未満,"106,402,000",8月,,,,,1,20,Google Hosted Libraries/CloudFlare/Gstatic/Googleタグマネージャー/jsDelivr,-,-,-,-,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(先週)/商標出願あり(2025/2026年),3,N/A
株式会社バイモソフト,'9011001073397,株式会社,,株式会社バイモソフトは、ＲＰＡやＡＩ技術を活用したＳａａＳプロダクトの開発・提供を行い、ＥＣ事業者向けに業務自動化やデジタルトランスフォーメーションを支援するＩＴ法人です。,東京都港区高輪4-11-24ヒルズ高輪B棟102,108-0074,東京都,港区,高輪4-11-24ヒルズ高輪B棟102,東京都港区高輪４丁目１１－２４,1080074,東京都,港区,高輪４丁目１１－２４,https://baimosoft.co.jp/,,03-3237-6100,,"情報通信業/情報サービス業/ソフトウェア業,学術研究，専門・技術サービス業/技術サービス業（他に分類されないもの）/その他の技術サービス業,情報通信業/情報サービス業/情報処理・提供サービス業,サービス業（他に分類されないもの）/職業紹介・労働者派遣業/職業紹介業",情報通信業,情報サービス業,学術研究，専門・技術サービス業,技術サービス業（他に分類されないもの）,情報通信業,情報サービス業,非上場,小規模企業,2012/4/23,"5,000,000",30以上～50未満,西嶋 博孝（代表取締役社長）,西嶋 博孝（代表取締役社長）,1億以上～5億未満,,,1,,,,,,Polyfill/Googleタグマネージャー,-,-,-,-,-,,4,N/A
有限会社ボトムライン,'2010402035764,有限会社,,有限会社ボトムラインは、格安ＡＳＰ・初期無料ＷＥＢ制作・ＩＴ顧問を提供するＩＴ法人であり、ＳａａＳ、ブロックチェーン開発、国外対応、広告など多岐にわたるサービスを展開しています。,東京都港区虎ノ門1-16-6UCF7F,105-0001,東京都,港区,虎ノ門1-16-6UCF7F,東京都港区虎ノ門１丁目１６番６号,1050001,東京都,港区,虎ノ門１丁目１６番６号,https://bottomline-web.com/,,0120-341-099,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,小規模企業,2000/5/1,,～5未満,,Hidezumi Enomoto（Representative）,1億以上～5億未満,,,1,,4,エストニア/カンボジア/中国/アメリカ,2,,Google翻訳,-,-,◯,-,-,,,N/A
アウモ株式会社,'6010401137153,株式会社,,アウモ株式会社は、デジタルギフトを活用した企業支援サービスや店舗向けマーケティングＳａａＳを展開する法人であり、グリー株式会社の子会社として、企業や事業者のマーケティング支援を行っています。,東京都港区六本木6-11-1六本木ヒルズゲートタワー,106-0032,東京都,港区,六本木6-11-1六本木ヒルズゲートタワー,東京都港区六本木６丁目１１番１号,1060032,東京都,港区,六本木６丁目１１番１号,https://aumo.co.jp/,info@aumo.jp,03-5770-9659,,"情報通信業/インターネット附随サービス業/インターネット附随サービス業,情報通信業/情報サービス業/情報処理・提供サービス業",情報通信業,インターネット附随サービス業,情報通信業,情報サービス業,,,非上場,中小企業,2018/3/8,"150,000,000",30以上～50未満,生方駿一（代表取締役社長）,生方駿一（代表取締役社長）/足立和久（取締役）,10億以上～20億未満,,,,,,,1,3,Googleタグマネージャー/Google マップ/CloudFlare,-,-,-,-,-,,6,N/A
ドーモ株式会社,'1011001070352,株式会社,,ドーモ株式会社は、ＡＩを搭載したクラウド型データ活用プラットフォームを提供し、企業のデータ統合、分析、可視化を通じてデータドリブン経営を実現するＳａａＳプロバイダーです。,東京都千代田区丸の内二丁目7番2号JPタワー11階,,東京都,千代田区,丸の内二丁目7番2号JPタワー11階,東京都千代田区丸の内２丁目７番２号ＪＰタワー１１階,1000005,東京都,千代田区,丸の内２丁目７番２号ＪＰタワー１１階,https://www.domo.com:443/jp,info-jp@domo.com,03-6733-0760,,"情報通信業/情報サービス業/情報処理・提供サービス業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,情報通信業,情報サービス業,,,非上場,中小企業,,,50以上～100未満,川崎友和（代表 - President & Country Manager）,川崎友和（代表 - President & Country Manager）/Josh James（創業者、CEO兼会長）,10億以上～20億未満,,,,,,,,37,Typekit/jsDelivr/Google マップ/Amazon Cloud Front/CloudFlare/Googleタグマネージャー,◯,-,◯,-,-,リリース情報掲載あり(2025/2026年),23,N/A
サイオス株式会社,'2010401067057,株式会社,,サイオス株式会社は、オープンソースソフトウェアを活用したシステムインテグレーションを基盤に、ソフトウェア製品およびＳａａＳを提供するテクノロジー法人であり、持株会社として企業価値の最大化を目指しています。,東京都港区南麻布2-12-3サイオスビル,106-0047,東京都,港区,南麻布2-12-3サイオスビル,東京都港区南麻布２丁目１２番３号サイオスビル,1060047,東京都,港区,南麻布２丁目１２番３号サイオスビル,https://www.sios.com/ja/,,03-6401-5111,03-6401-5112,"学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,情報通信業/情報サービス業/ソフトウェア業,情報通信業/情報サービス業/情報処理・提供サービス業",学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,情報通信業,情報サービス業,情報通信業,情報サービス業,東証スタンダード,大手,1997/5/23,"1,481,520,000",30以上～50未満,喜多伸夫（代表取締役社長）,森田昇（取締役）/山﨑靖之（取締役）/小林徳太郎（取締役）/小野未貴（取締役）/平松祐樹（取締役(常勤監査等委員)）/古畑克巳（取締役(監査等委員)）/長谷川紘之（取締役(監査等委員)）,10億以上～20億未満,"-569,658,000",12月,1,,1,アメリカ,1,2,Gstatic/Googleタグマネージャー,-,-,-,-,-,リリース情報掲載あり(1週間以内)/中途採用掲載あり(2025/2026年),6,N/A
株式会社ベネクロ,'5021001083944,株式会社,,株式会社ベネクロは、データ駆動型マーケティングと営業プロセス最適化を通じて、日本のＢ２Ｂ製造業の成長と競争力を支援するコンサルティングサービスを提供しています。,東京都港区北青山1-3-1アールキューブ青山3階,107-0061,東京都,港区,北青山1-3-1アールキューブ青山3階,東京都港区北青山１丁目３番１号アールキューブ青山３階,1070061,東京都,港区,北青山１丁目３番１号アールキューブ青山３階,https://benecro.co.jp/,,03-6690-0721,,"情報通信業/情報サービス業/情報処理・提供サービス業,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/経営コンサルタント業，純粋持株会社,学術研究，専門・技術サービス業/専門サービス業（他に分類されないもの）/その他の専門サービス業,学術研究，専門・技術サービス業/広告業/広告業,情報通信業/情報サービス業/ソフトウェア業",情報通信業,情報サービス業,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,学術研究，専門・技術サービス業,専門サービス業（他に分類されないもの）,非上場,小規模企業,2024/12/4,"3,000,000",～5未満,内村 裕香（代表取締役）,内村 裕香（代表取締役）,5千万以上～1億未満,,,1,,,,,,Googleタグマネージャー,-,-,-,-,-,,,N/A
